exam_type,year,college_code,college_name,course_code,course_name,category,total_seats,category_seats,tuition_fee,other_fee,total_fee,closing_rank_mock,closing_rank_r1,closing_rank_r2,closing_rank_r3,closing_rank_r4
COMEDK,2025,E012,"Atria Institute of Technology-Hebbal, Bengaluru",RA,Robotics & Automation,GM,18,16,200000,20000,220000,104693,87865,,104693,
COMEDK,2025,E012,"Atria Institute of Technology-Hebbal, Bengaluru",RA,Robotics & Automation,KKR,18,2,200000,20000,220000,,,,,
COMEDK,2025,E013,"Akshaya Institute of Technology-Koratagere Road, Tumakuru",AD,Artificial Intelligence & Data Science,GM,18,16,200000,20000,220000,,104749,,,
COMEDK,2025,E013,"Akshaya Institute of Technology-Koratagere Road, Tumakuru",AD,Artificial Intelligence & Data Science,KKR,18,2,200000,20000,220000,,,,,
COMEDK,2025,E013,"Akshaya Institute of Technology-Koratagere Road, Tumakuru",AG,Agricultural Engineering,GM,18,16,200000,20000,220000,,,,,
COMEDK,2025,E013,"Akshaya Institute of Technology-Koratagere Road, Tumakuru",AG,Agricultural Engineering,KKR,18,2,200000,20000,220000,,,,,
COMEDK,2025,E013,"Akshaya Institute of Technology-Koratagere Road, Tumakuru",CS,Computer Science & Engineering,GM,54,48,200000,20000,220000,,107303,,,
COMEDK,2025,E013,"Akshaya Institute of Technology-Koratagere Road, Tumakuru",CS,Computer Science & Engineering,KKR,54,6,200000,20000,220000,,,,,
COMEDK,2025,E013,"Akshaya Institute of Technology-Koratagere Road, Tumakuru",EC,Electronics & Communication Engineering,GM,36,32,200000,20000,220000,,,,,
COMEDK,2025,E013,"Akshaya Institute of Technology-Koratagere Road, Tumakuru",EC,Electronics & Communication Engineering,KKR,36,4,200000,20000,220000,,,,,
COMEDK,2025,E013,"Akshaya Institute of Technology-Koratagere Road, Tumakuru",IS,Information Science & Engineering,GM,18,16,200000,20000,220000,,,,,
